"ID","Site Name","Date","Time","Weather","Arrival Time","Inspection Time","Departure Time","InspectionStaff","Notes","Water level notes","MeterID","DO Notes","Temp Check","Temp Logger"
NA,"Mangatainoka at Pahiatua Town Bridge",2024-01-16,"12:13:00","Fine","2024-01-16 12:13:00",NA,NA,"Tom Bayley","200mm Black Disc.",NA,"Aquatroll 3",NA,"19.26",NA
NA,"Mangatainoka at Pahiatua Town Bridge",2023-12-12,"12:20:00","Overcast","2023-12-12 12:20:00",NA,NA,"Tom Bayley","200mm Black Disc.",NA,"Aquatroll 4",NA,"15.22",NA
NA,"Mangatainoka at Pahiatua Town Bridge",2023-11-14,"12:24:00","Fine","2023-11-14 12:24:00",NA,NA,"Tom Bayley","200mm Black Disc.",NA,"Aquatroll 3",NA,"15.37",NA
NA,"Mangatainoka at Pahiatua Town Bridge",2023-10-10,"14:11:00","Overcast","2023-10-10 14:11:00",NA,NA,"Hanna Braddock","Too rocky for Black Disc reading.",NA,"Aquatroll 5",NA,"14.54",NA
NA,"Mangatainoka at Pahiatua Town Bridge",2023-09-26,"13:30:00","Overcast","2023-09-26 13:30:00",NA,NA,"Tom Bayley","Too dirty for Black Disc and bed substrate.",NA,"Aquatroll 3",NA,"12.39",NA
NA,"Mangatainoka at Pahiatua Town Bridge",2023-08-15,"13:25:00","Overcast","2023-08-15 13:25:00",NA,NA,"Tom Bayley","60mm Black Disc.  Too murky for bed substrate.",NA,"Aquatroll 3",NA,"10.05",NA
NA,"Mangatainoka at Pahiatua Town Bridge",2023-07-18,"13:28:00","Overcast","2023-07-18 13:28:00",NA,NA,"Tom Bayley","200mm Black Disc used in error.  Too murky to see bed substrate.",NA,"Aquatroll 2",NA,"11.51",NA
NA,"Mangatainoka at Pahiatua Town Bridge",2023-06-13,"14:03:00","Fine","2023-06-13 14:03:00",NA,NA,"Tom Bayley","200mm Black Disc.",NA,"Aquatroll 2",NA,"10.64",NA
NA,"Mangatainoka at Pahiatua Town Bridge",2023-05-09,"14:10:00","Rain","2023-05-09 14:10:00",NA,NA,"Tom Bayley","200mm Black Disc.",NA,"Aquatroll 6",NA,"15.51",NA
NA,"Mangatainoka at Pahiatua Town Bridge",2023-04-18,"14:55:00","Overcast","2023-04-18 14:55:00",NA,NA,"Tom Bayley","Clarity Tube left at office.  NCR#131035.",NA,"Aquatroll 4",NA,"15.57",NA
NA,"Mangatainoka at Pahiatua Town Bridge",2023-03-14,"12:51:00","Fine","2023-03-14 12:51:00",NA,NA,"Damon Hill","Too deep for Black Disc reading.",NA,"Aquatroll 3",NA,"15.68",NA
NA,"Mangatainoka at Pahiatua Town Bridge",2023-02-14,"11:52:00","Drizzle","2023-02-14 11:52:00",NA,NA,"Damon Hill","Too dangerous for Black Disc reading.",NA,"Aquatroll 5",NA,"16.64",NA
NA,"Mangatainoka at Pahiatua Town Bridge",2023-01-17,"13:03:00","Fine","2023-01-17 13:03:00",NA,NA,"Jake Connolly","200mm Black Disc.",NA,"Aquatroll 2",NA,"21.14",NA
NA,"Mangatainoka at Pahiatua Town Bridge",2022-11-15,"13:10:00","Fine","2022-11-15 13:10:00",NA,NA,"Jake Connolly","200mm Black Disc.",NA,"Aquatroll 3",NA,"20.37",NA
NA,"Mangatainoka at Pahiatua Town Bridge",2022-10-11,"12:51:00","Drizzle","2022-10-11 12:51:00",NA,NA,"Alivia Goldfinch","200mm Black Disc.",NA,"Aquatroll 5",NA,"13.48",NA
NA,"Mangatainoka at Pahiatua Town Bridge",2022-09-13,"11:43:00","Rain","2022-09-13 11:43:00",NA,NA,"Jake Connolly","Too high for Black Disc reading.",NA,"Aquatroll 5",NA,"11.43",NA
NA,"Mangatainoka at Pahiatua Town Bridge",2022-08-09,"12:30:00","Drizzle","2022-08-09 12:30:00",NA,NA,"Jake Connolly","Too high for Black Disc reading.",NA,"Aquatroll 6",NA,"10.22",NA
NA,"Mangatainoka at Pahiatua Town Bridge",2022-07-12,"12:25:00","Rain","2022-07-12 12:25:00",NA,NA,"Damon Hill","Too deep for Black Disc reading.",NA,"Aquatroll 9",NA,"9.64",NA
NA,"Mangatainoka at Pahiatua Town Bridge",2022-06-14,"12:33:00","Sunny","2022-06-14 12:33:00",NA,NA,"Damon Hill","Too deep for Black Disc reading.",NA,"Aquatroll 4",NA,"10.08",NA
NA,"Mangatainoka at Pahiatua Town Bridge",2022-05-10,"13:46:00","Overcast","2022-05-10 13:46:00",NA,NA,"Tane Humphrey","Too deep for Black Disc reading.",NA,"Aquatroll 9",NA,"14.83",NA
NA,"Mangatainoka at Pahiatua Town Bridge",2022-04-27,"13:46:00","Overcast","2022-04-27 13:46:00",NA,NA,"Jake Connolly","200mm Black Disc.",NA,"Aquatroll 6",NA,"15.8",NA
NA,"Mangatainoka at Pahiatua Town Bridge",2022-03-15,"13:02:00","Overcast","2022-03-15 13:02:00",NA,NA,"Jake Connolly","Could not use Black Disc.",NA,"Aquatroll 3",NA,"17.18",NA
NA,"Mangatainoka at Pahiatua Town Bridge",2022-02-15,"12:03:00","Fine","2022-02-15 12:03:00",NA,NA,"Jake Connolly","Too high for Black Disc reading.",NA,"Aquatroll 3",NA,"16.81",NA
NA,"Mangatainoka at Pahiatua Town Bridge",2022-01-26,"14:10:00","Overcast","2022-01-26 14:10:00",NA,NA,"Jake Connolly","200mm Black Disc.",NA,"Aquatroll 5",NA,"21.24",NA
