"Date","Time","Water Temperature check","Recorder Time","Comment"
2022-01-26,"14:10:00",21.24,"2022-01-26 14:10:00","200mm Black Disc."
2022-02-15,"12:03:00",16.81,"2022-02-15 12:03:00","Too high for Black Disc reading."
2022-02-15,"12:05:00",16.9,"2022-02-15 12:05:00","No ESG at this level."
2022-03-15,"13:02:00",17.18,"2022-03-15 13:02:00","Could not use Black Disc."
2022-04-11,"15:15:00",15.88,"2022-04-11 15:15:00","Gauged 400m u/s"
2022-04-27,"13:46:00",15.8,"2022-04-27 13:46:00","200mm Black Disc."
2022-05-10,"13:46:00",14.83,"2022-05-10 13:46:00","Too deep for Black Disc reading."
2022-06-14,"12:53:57",10.08,"2022-06-14 12:53:57","Ivy around ESG needs trimming"
2022-07-12,"12:25:00",9.64,"2022-07-12 12:25:00","Too deep for Black Disc reading."
2022-07-29,"10:15:00",9.8,"2022-07-29 10:15:00","Calibrated AirForce bubbler, pass. Rechecked stage all ok."
2022-08-09,"12:30:00",10.22,"2022-08-09 12:30:00","Too high for Black Disc reading."
2022-08-15,"12:30:00",9.85,"2022-08-15 12:30:00","Gauged 500m u/s. Sprayed
"
2022-09-13,"11:43:00",11.43,"2022-09-13 11:43:00","Too high for Black Disc reading."
2022-09-13,"12:35:00",11.15,"2022-09-13 12:35:00",NA
2022-10-11,"12:30:00",13.61,"2022-10-11 12:30:00","Cleaned Turb and DO sensors, both covered in grime. Scrubbed housing, both sensors dropped after cleaning."
2022-10-11,"12:51:00",13.48,"2022-10-11 12:51:00","200mm Black Disc."
2022-11-15,"13:05:00",20.54,"2022-11-15 13:05:00",NA
2022-11-15,"13:10:00",20.37,"2022-11-15 13:10:00","200mm Black Disc."
2023-01-12,"12:45:00",16.23,"2023-01-12 12:45:00","Gauged 300m upstream of ESG. Cleaned turb. "
2023-01-17,"12:45:00",21.26,"2023-01-17 12:45:00","No ESG at this height."
2023-01-17,"13:03:00",21.14,"2023-01-17 13:03:00","200mm Black Disc."
2023-02-14,"12:01:00",16.64,"2023-02-14 12:01:00","No lower ESG"
2023-03-09,"10:30:00",17.64,"2023-03-09 10:30:00",NA
2023-03-09,"13:30:00",18.4,"2023-03-09 13:30:00",NA
2023-03-14,"12:51:00",15.68,"2023-03-14 12:51:00","Too deep for Black Disc reading."
2023-03-14,"13:00:51",15.67,"2023-03-14 13:00:51",NA
2023-04-18,"14:55:00",15.57,"2023-04-18 14:55:00","Clarity Tube left at office.  NCR#131035."
2023-05-09,"14:10:00",15.51,"2023-05-09 14:10:00","200mm Black Disc."
2023-06-08,"10:15:00",10.68,"2023-06-08 10:15:00","Gauged 250m upstream of site. Last transect failed to record, unsure of reason, battery tests ok, replaced for next site. Will process with 3 good transects."
2023-06-13,"14:03:00",10.64,"2023-06-13 14:03:00","200mm Black Disc."
2023-06-13,"14:31:00",10.55,"2023-06-13 14:31:00","Temp is off the DO_DegC
These turb readings are from the 15 minute punch otherwise they were at 0 on public. After readings are the same on both now.
Turb high is 2.2 before cleaning and after 1.1
Turb low is 2.16 before cleaning and after 0.65"
2023-07-18,"13:28:00",11.51,"2023-07-18 13:28:00","200mm Black Disc used in error.  Too murky to see bed substrate."
2023-07-31,"11:15:00",8.66,"2023-07-31 11:15:00","DO after cleaning 103.6
Calibrated AirForce - Pass."
2023-08-15,"13:25:00",10.05,"2023-08-15 13:25:00","60mm Black Disc.  Too murky for bed substrate."
2023-09-11,"10:16:00",12.47,"2023-09-11 10:16:00","Cleaned remainder of inside WQ housing. All ok. "
2023-09-22,"15:00:00",14.5,"2023-09-22 15:00:00","Removing WTW replacing with Sonde 33. Program change to accommodate. Painted container. "
2023-09-26,"13:30:00",12.39,"2023-09-26 13:30:00","Too dirty for Black Disc and bed substrate."
2023-09-28,"13:15:00",12.04,"2023-09-28 13:15:00","Gauged 250m upstream of site. "
2023-10-10,"14:11:00",14.54,"2023-10-10 14:11:00","Too rocky for Black Disc reading."
2023-10-24,"09:30:00",14.1,"2023-10-24 09:30:00","WQ data looks scratchy in office, checked EXO for algae build up, small amount growing, cleaned off, all ok. "
2023-10-30,"08:45:00",12.12,"2023-10-30 08:45:00","Gauged 100m above site. "
2023-11-14,"12:31:14",15.37,"2023-11-14 12:31:14",NA
2023-12-12,"12:20:00",15.22,"2023-12-12 12:20:00","200mm Black Disc."
2024-01-16,"12:13:00",19.26,"2024-01-16 12:13:00","200mm Black Disc."
2024-01-16,"12:40:00",19.25,"2024-01-16 12:40:00",NA
2024-01-18,"12:13:00",21.75,"2024-01-18 12:13:00","Replaced lower ESG. Cleared blackberry and sprayed track. "
2024-01-23,"13:52:52",22.36,"2024-01-23 13:52:52","Added benchmark by container"
2024-01-31,"12:45:00",19.44,"2024-01-31 12:45:00","Gauged 150m above site. "
2024-02-13,"12:24:45",18.07,"2024-02-13 12:24:45",NA
2024-03-12,"12:00:16",17.24,"2024-03-12 12:00:16",NA
